Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
54,7338.0,18318.0,8570.0,17440.0,17814.0,105311.0,18146.0,18207.0,18976.0,8649.0,8171.0
55,7208.0,19072.0,9099.0,18328.0,17932.0,97928.0,26881.0,18412.0,17965.0,19262.0,8286.0
56,8334.0,27157.0,8494.0,17935.0,18674.0,115507.0,17738.0,27675.0,17260.0,9232.0,6995.0
57,8926.0,27865.0,9013.0,7914.0,10036.0,107928.0,18052.0,17926.0,17638.0,8457.0,7993.0
58,9252.0,9074.0,9312.0,28826.0,8712.0,91941.0,27845.0,18404.0,9159.0,7368.0,7941.0
59,9118.0,18774.0,9186.0,19060.0,19227.0,101132.0,18667.0,18630.0,9164.0,8350.0,7044.0
60,7749.0,19527.0,8526.0,18126.0,9260.0,89949.0,17922.0,19141.0,18238.0,8447.0,7639.0
61,7954.0,17718.0,9185.0,18202.0,7564.0,97099.0,18611.0,17632.0,8404.0,8720.0,8461.0
62,9147.0,18731.0,9537.0,8674.0,19715.0,92275.0,27945.0,7659.0,18723.0,17128.0,7541.0
63,7951.0,17866.0,8865.0,17787.0,17830.0,98241.0,28014.0,8287.0,19234.0,7954.0,8953.0
64,8301.0,18625.0,8039.0,28089.0,8288.0,117869.0,28734.0,8097.0,28574.0,8836.0,8999.0
65,8229.0,8117.0,9097.0,28061.0,8549.0,99791.0,18805.0,19291.0,19256.0,28837.0,8729.0
66,8854.0,17891.0,9136.0,19041.0,18654.0,109208.0,27296.0,28646.0,19033.0,29822.0,7302.0
67,8103.0,17976.0,9236.0,18147.0,18903.0,119396.0,18657.0,17601.0,18321.0,8200.0,8616.0
68,8947.0,18612.0,9085.0,17901.0,18673.0,98645.0,28247.0,18178.0,7960.0,29149.0,7932.0
69,8765.0,28064.0,9229.0,18239.0,19071.0,111176.0,19285.0,17487.0,9085.0,28729.0,8441.0
70,8398.0,18185.0,8988.0,18671.0,18060.0,108111.0,28153.0,18686.0,17249.0,28552.0,7943.0
71,8444.0,18025.0,8857.0,18042.0,17740.0,108115.0,27214.0,17770.0,7810.0,17691.0,8761.0
72,8050.0,17595.0,7245.0,18488.0,18644.0,96545.0,27066.0,17624.0,9196.0,19301.0,8507.0
73,8570.0,18056.0,9289.0,18875.0,18103.0,109947.0,28560.0,19150.0,28589.0,8847.0,8699.0
74,8820.0,8648.0,17776.0,17792.0,19251.0,99320.0,18574.0,18937.0,18709.0,8988.0,9340.0
75,8997.0,8997.0,17814.0,18742.0,8938.0,108834.0,18533.0,18839.0,18702.0,8617.0,9400.0
76,8461.0,17819.0,8318.0,18111.0,9184.0,99855.0,18787.0,19022.0,9216.0,17856.0,8737.0
77,8280.0,8458.0,9138.0,18521.0,18658.0,89724.0,28219.0,9522.0,18365.0,9476.0,8865.0
78,9098.0,9040.0,9101.0,18780.0,17821.0,89717.0,18800.0,17917.0,18343.0,17891.0,7820.0
79,8773.0,8159.0,8355.0,17904.0,18846.0,80032.0,17941.0,19019.0,19244.0,7676.0,
80,8149.0,17766.0,9022.0,18283.0,18388.0,106662.0,28048.0,17713.0,17935.0,8159.0,6801.0
81,7698.0,18330.0,8222.0,18232.0,17332.0,104359.0,18566.0,18237.0,39106.0,9639.0,6746.0
82,8820.0,18331.0,7746.0,18993.0,17512.0,99312.0,19353.0,17874.0,19414.0,8581.0,8881.0
83,7973.0,17175.0,8604.0,9411.0,9878.0,106130.0,28596.0,18479.0,8706.0,8098.0,8262.0
84,9363.0,19296.0,9010.0,8466.0,18126.0,91763.0,18302.0,19072.0,19427.0,9568.0,7883.0
85,8724.0,18375.0,9102.0,19427.0,19597.0,133726.0,18646.0,28274.0,19348.0,9318.0,9122.0
86,8225.0,18986.0,8717.0,8292.0,19019.0,90875.0,28700.0,9124.0,18551.0,9749.0,8636.0
87,8242.0,18858.0,7975.0,18819.0,18376.0,100217.0,27214.0,19407.0,18101.0,9214.0,8713.0
88,9177.0,18985.0,9291.0,28366.0,18226.0,110361.0,29371.0,18783.0,29883.0,8965.0,7784.0
89,8555.0,9964.0,8235.0,19383.0,8930.0,101218.0,19180.0,9725.0,19167.0,9362.0,8349.0
90,9160.0,8685.0,9036.0,18225.0,19453.0,101116.0,28578.0,9418.0,18889.0,8638.0,9496.0
91,19465.0,19976.0,7743.0,18550.0,19341.0,111368.0,18159.0,18257.0,8482.0,18546.0,7948.0
92,8510.0,8469.0,9683.0,18723.0,7938.0,90305.0,19431.0,17877.0,9138.0,8755.0,8444.0
93,9512.0,30127.0,9447.0,7748.0,19505.0,103507.0,18859.0,18705.0,18720.0,8595.0,7813.0
94,8999.0,18300.0,18475.0,19407.0,9005.0,111473.0,27795.0,19585.0,8030.0,18810.0,7824.0
95,7931.0,19459.0,8941.0,19175.0,19603.0,112982.0,18954.0,19808.0,18898.0,8173.0,8936.0
96,8698.0,18328.0,9303.0,19059.0,18265.0,113430.0,18875.0,18059.0,17857.0,9136.0,9268.0
97,9298.0,18373.0,9548.0,18706.0,18887.0,111264.0,19295.0,19176.0,18227.0,9434.0,9040.0
