Frame,GridMask,img_backbone,img_neck,extract_img_feat,get_bev_features (frozen),get_bevs,pts_bbox_head.get_detections,select_active_track_query,memory_bank,generate_empty_tracks,query_interact,_forward_single_frame_inference,simple_test_track,seg_head,motion_head,occ_head,planning_head,velo_update
41,4.116,20.739,24.71,53.685,12.823,70.879,19.371,5.825,4.508,5.68,5.415,130.538,142.276,5.056,26.202,5.313,9.435,5.749
42,4.022,44.397,6.135,58.612,4.317,67.069,32.195,4.953,6.264,6.014,5.726,138.182,144.234,3.539,23.398,6.03,8.778,4.574
43,4.02,36.476,19.43,63.946,18.755,86.971,13.993,5.413,4.944,6.007,5.701,141.12,147.167,12.508,21.607,5.152,9.436,5.622
44,3.714,42.933,6.805,57.2,6.985,68.042,28.827,6.139,5.334,4.75,6.028,133.515,139.255,21.764,5.146,4.982,15.167,4.1
45,4.042,25.718,21.458,55.278,13.452,72.919,20.185,5.319,5.771,5.292,4.96,130.261,136.6,12.627,24.428,4.323,6.027,4.588
46,4.083,36.982,16.343,61.484,20.599,86.288,6.323,5.861,4.959,6.159,5.859,133.479,139.535,18.073,17.85,5.347,9.348,4.622
47,4.589,40.697,10.427,60.384,4.611,87.066,6.332,6.039,5.371,5.025,4.76,131.909,137.358,23.297,5.64,5.764,16.408,4.097
48,3.773,24.281,22.164,54.026,9.77,66.918,27.237,4.647,11.45,5.023,4.738,128.67,134.745,2.881,21.771,4.651,5.045,4.313
49,3.905,38.45,13.389,59.628,27.171,90.814,6.093,4.946,5.819,5.443,5.179,134.186,138.854,17.865,8.408,15.89,6.487,4.238
50,4.459,22.256,19.34,50.456,12.845,67.885,26.197,12.823,5.269,4.921,4.36,126.959,132.329,22.192,5.341,15.042,6.562,3.7
51,4.521,22.747,20.73,52.529,13.719,70.854,21.429,3.603,5.812,5.404,4.932,125.675,130.814,12.321,25.555,4.453,7.087,3.575
52,4.349,40.295,10.573,59.586,4.709,87.321,6.501,5.736,4.726,5.967,5.73,133.599,138.704,20.667,4.757,16.061,6.446,4.92
53,4.263,21.686,24.584,54.854,5.222,70.482,24.53,5.503,5.786,5.394,13.591,140.84,145.868,4.101,24.534,5.106,15.401,4.877
54,4.626,27.131,17.609,54.082,13.853,72.757,12.475,5.536,5.879,5.485,5.243,131.484,136.994,11.671,21.887,5.898,9.383,12.297
55,3.838,43.525,6.458,57.707,6.895,68.62,28.82,6.409,5.502,5.152,4.867,135.793,141.726,19.355,8.549,15.016,8.249,4.252
56,4.113,20.699,24.968,53.933,13.024,71.18,22.04,6.178,4.938,6.132,5.808,132.964,139.111,4.895,26.101,5.71,8.799,4.466
57,4.39,40.509,10.542,59.882,4.753,69.187,25.845,5.303,4.454,5.784,5.495,133.427,138.494,19.797,6.175,15.413,6.148,4.978
58,4.265,26.513,24.754,59.811,15.262,79.637,18.512,6.328,5.267,4.558,5.969,145.91,151.216,14.056,20.765,5.408,8.731,5.088
59,4.766,18.335,31.009,57.655,6.186,67.561,32.331,6.709,5.55,13.783,6.44,138.939,144.504,4.348,25.22,5.171,7.048,3.958
60,3.895,37.987,11.533,57.52,24.97,86.723,6.884,6.366,5.499,5.146,4.863,132.336,138.546,19.749,8.21,15.21,6.532,4.631
61,3.56,18.308,29.487,55.055,4.412,63.217,28.228,5.876,5.036,6.105,5.79,131.923,137.753,21.168,5.015,4.734,6.551,4.267
62,3.785,37.512,13.426,58.558,26.057,88.726,5.866,5.449,5.835,5.279,4.909,133.334,139.024,13.419,24.007,5.617,6.779,5.317
63,4.298,21.664,24.846,55.159,12.84,72.464,18.932,6.777,5.577,5.198,4.885,129.551,134.548,13.52,21.64,5.404,9.421,4.725
64,4.629,22.968,20.841,53.124,11.456,68.124,17.931,5.11,3.879,4.754,4.507,118.631,123.958,9.775,20.575,3.552,5.191,3.906
65,3.632,38.171,12.561,58.088,25.368,87.334,6.624,6.233,5.343,4.884,6.111,133.443,138.31,18.793,8.474,14.286,16.078,4.415
66,4.501,37.781,11.62,58.306,20.721,83.607,11.421,5.153,5.97,5.623,5.339,130.895,136.166,15.787,20.387,5.286,18.047,3.674
67,4.402,21.931,24.697,55.423,11.484,71.409,24.462,6.88,5.687,5.368,5.019,134.016,137.88,13.225,24.268,5.177,15.778,4.764
68,4.133,37.15,19.283,64.722,20.955,90.154,6.575,6.924,5.501,13.707,6.343,147.082,153.276,4.252,24.847,5.14,17.151,5.778
69,4.102,37.214,19.262,64.72,21.353,90.33,6.355,6.048,5.098,6.244,5.875,136.492,142.661,17.716,11.355,13.437,15.512,4.417
70,4.009,25.37,23.477,56.889,12.299,73.315,14.625,5.801,4.685,4.338,3.733,120.933,133.645,12.962,10.494,12.188,5.291,4.403
71,4.098,39.2,13.351,60.718,26.733,91.642,6.596,5.114,5.803,5.367,5.043,135.534,140.699,16.214,11.999,14.121,7.128,4.437
72,4.225,21.008,25.029,54.521,12.541,71.411,31.532,5.955,14.102,6.355,6.056,143.328,149.48,23.768,5.437,5.298,15.811,4.542
73,4.104,37.24,16.627,62.103,20.51,86.807,12.313,5.13,5.966,5.634,5.42,139.212,145.334,16.303,10.228,14.824,8.368,4.651
74,4.807,23.423,20.998,52.829,11.589,68.193,17.214,5.72,4.472,4.16,3.899,119.723,125.639,10.871,21.194,3.912,6.716,4.106
75,4.294,37.427,18.742,64.825,21.649,90.651,6.465,5.548,4.792,5.953,5.668,134.592,138.963,20.961,5.142,5.057,15.877,3.124
76,3.843,24.67,22.333,54.74,10.445,69.047,17.818,4.923,3.893,4.932,4.689,120.954,127.085,10.926,9.922,11.524,5.858,4.36
77,4.475,40.932,10.711,60.591,4.84,70.011,6.705,6.136,5.489,5.149,4.915,134.084,138.156,22.313,5.195,5.067,15.816,4.83
78,3.724,22.505,21.416,51.302,14.907,70.142,21.238,6.797,5.613,5.263,4.94,130.828,136.569,13.029,24.237,4.676,8.185,5.371
79,4.225,39.723,11.249,59.674,26.765,92.12,6.455,6.458,6.464,6.184,5.834,135.245,141.281,24.92,5.293,5.617,15.647,
80,4.558,22.059,24.83,55.981,12.8,73.657,18.013,6.345,4.939,6.105,5.881,131.542,136.827,4.837,25.427,5.193,8.274,4.948
81,4.34,26.465,22.68,57.881,12.791,75.214,22.795,6.396,5.067,6.159,5.829,145.124,150.546,4.929,26.171,5.453,8.104,12.364
82,4.627,27.286,17.729,54.357,15.36,74.703,14.694,6.845,5.601,5.218,4.904,134.291,139.852,13.263,23.986,5.402,8.854,11.022
83,4.305,37.476,18.871,65.062,22.206,91.752,8.769,5.328,4.494,5.894,5.58,136.564,141.637,18.383,8.495,16.112,6.119,4.719
84,4.633,47.116,6.599,63.037,6.121,72.549,31.307,5.319,6.193,5.779,5.349,139.965,145.349,21.52,5.135,15.999,7.019,3.901
85,3.885,19.56,33.185,60.519,5.061,69.381,32.082,6.836,5.564,13.724,6.389,140.987,146.81,24.769,5.362,5.292,15.296,4.19
86,4.511,46.635,5.416,60.918,7.565,73.18,29.638,5.865,4.972,6.195,5.894,141.645,147.187,19.002,7.185,15.464,6.32,3.857
87,4.619,37.948,12.395,59.633,24.366,87.656,7.759,6.454,5.562,5.185,4.909,132.331,138.277,18.373,19.311,5.181,9.553,4.174
88,4.435,46.007,5.931,60.84,7.181,72.596,30.289,13.582,6.006,5.734,5.415,140.64,145.678,21.684,4.938,15.979,5.865,4.839
89,4.635,47.021,6.534,62.8,6.394,72.637,23.777,6.851,5.529,5.171,4.862,133.966,139.595,13.354,23.786,4.704,7.052,3.983
90,3.875,37.975,11.549,57.31,26.038,87.32,6.791,6.455,5.642,5.304,4.959,134.562,140.379,19.602,8.434,15.471,6.627,4.356
91,4.185,44.871,6.181,59.493,4.802,68.651,28.613,5.871,6.469,6.096,5.788,137.992,142.826,21.823,5.279,5.142,15.332,4.779
92,4.016,19.955,24.497,58.773,5.276,68.135,31.865,6.373,14.007,6.448,6.071,141.941,146.701,3.887,24.234,6.211,16.772,4.501
93,3.841,24.655,22.505,54.894,11.193,70.065,16.829,4.311,4.692,4.349,4.085,119.996,133.765,8.972,19.98,4.237,6.657,4.329
94,4.156,37.366,19.323,64.997,20.793,90.058,5.944,5.901,4.953,6.239,5.94,135.257,140.235,17.8,20.861,5.457,9.323,4.48
95,3.782,37.215,12.901,57.595,25.159,86.608,7.466,5.301,5.992,5.602,5.302,131.534,137.301,15.126,12.375,15.293,5.588,4.09
96,4.8,23.522,21.168,53.104,14.59,71.479,21.137,5.404,6.018,5.694,5.435,129.578,135.356,11.999,23.048,4.277,9.72,4.009
97,4.199,39.58,11.409,59.42,27.945,91.738,5.958,6.196,5.53,5.223,4.96,138.148,144.384,23.959,5.699,6.263,8.893,4.785
98,10.98,31.02,19.507,65.437,19.769,89.398,13.369,6.603,5.235,6.177,5.819,143.972,149.888,13.286,12.659,14.622,7.687,5.506
99,3.956,43.819,6.572,58.355,7.102,69.533,29.527,5.377,5.554,13.852,6.445,137.819,143.81,4.416,26.234,5.925,7.707,4.3
100,3.617,23.47,21.101,51.9,13.868,69.567,29.852,5.062,6.366,6.14,5.807,136.841,143.094,3.598,24.224,6.263,9.059,4.026
101,3.785,24.367,21.819,53.743,12.534,70.081,21.096,6.59,5.608,5.276,4.906,129.366,135.194,16.848,9.55,14.006,7.058,4.126
102,4.161,39.374,11.318,59.052,4.885,87.03,6.663,6.151,5.432,5.045,4.408,133.561,138.382,21.905,5.377,5.162,15.225,4.78
103,4.635,18.081,5.318,56.881,4.759,65.237,28.782,6.484,5.625,13.873,6.451,134.361,139.87,4.451,26.153,5.538,7.896,4.133
104,3.713,17.121,29.66,54.201,4.734,62.869,29.01,5.949,5.166,6.245,5.912,131.423,137.254,21.202,5.528,6.022,17.233,4.351
105,3.826,24.334,21.924,53.828,9.879,67.558,16.37,4.471,4.499,4.113,4.88,123.479,129.269,2.676,19.667,4.676,12.185,4.224
106,4.07,37.21,16.606,61.998,20.003,86.115,5.916,5.628,4.549,5.923,5.643,129.303,134.066,17.233,12.166,15.061,7.858,4.395
107,4.254,45.251,6.211,59.967,4.926,69.247,28.028,6.498,5.615,13.948,6.495,139.092,145.311,4.518,25.986,6.254,16.621,4.778
108,4.128,37.225,16.533,62.084,17.46,83.833,20.761,5.81,6.014,5.484,4.472,143.19,149.454,12.511,25.697,6.034,18.998,4.772
109,4.344,37.524,18.997,65.413,17.531,87.644,14.577,5.75,4.644,5.895,5.569,138.815,144.388,16.603,10.246,14.434,6.449,3.736
110,4.557,41.365,5.132,55.632,6.056,66.399,28.285,5.692,4.789,5.835,5.545,131.945,136.113,18.561,8.133,15.613,6.46,3.681
111,4.163,39.488,11.498,59.352,27.223,90.758,5.626,6.252,5.16,6.244,5.915,138.847,145.074,18.497,9.674,13.757,5.33,4.784
112,3.958,38.057,11.507,57.477,25.787,87.306,6.569,5.431,6.026,5.48,5.151,133.302,139.482,19.646,8.99,13.932,4.29,4.646
113,4.79,23.573,21.05,52.981,14.176,70.831,20.968,6.597,5.355,4.583,5.939,128.839,134.405,14.602,12.68,15.223,13.612,3.938
114,3.878,42.943,6.112,56.843,20.683,81.516,6.136,5.105,5.929,5.577,5.303,126.068,132.001,17.927,9.001,15.522,20.829,4.265
115,4.754,37.908,18.581,66.014,19.692,89.362,13.86,6.134,5.023,6.283,5.994,141.098,145.339,13.98,12.237,13.876,23.118,3.945
116,4.218,45.116,6.272,59.856,4.698,68.89,32.231,4.842,6.018,5.638,14.022,139.286,144.362,4.403,26.133,4.942,20.753,4.501
117,4.47,27.105,21.178,57.505,14.22,76.771,13.036,5.932,4.703,5.914,5.643,135.577,141.234,13.24,21.32,5.355,17.623,11.363
118,4.12,39.347,11.507,59.169,27.503,90.972,5.927,6.609,5.563,5.161,4.916,136.644,142.873,16.821,12.195,15.042,7.44,4.713
119,4.139,37.37,16.69,62.598,20.497,88.651,5.955,6.278,5.362,5.078,4.49,128.411,134.443,19.14,9.224,15.227,13.391,
120,10.867,31.11,16.554,62.359,19.186,85.503,14.41,5.712,4.653,5.802,5.522,139.555,145.254,14.616,12.363,14.809,22.633,4.35
121,4.334,26.598,24.733,60.095,14.757,79.628,13.362,6.744,5.548,5.162,4.893,138.446,143.982,15.525,20.463,5.844,20.989,11.068
122,4.199,39.986,13.043,61.467,5.05,70.868,7.326,6.88,13.828,6.168,5.897,138.054,141.744,3.714,6.083,4.784,27.65,4.581
123,3.972,19.939,24.524,52.45,5.647,69.38,33.548,6.334,5.005,6.086,5.838,133.421,138.006,12.435,25.855,4.599,36.353,4.284
124,4.827,18.211,5.44,56.374,4.342,64.859,26.72,4.779,6.552,6.167,5.724,129.851,134.605,22.759,5.635,5.506,35.089,4.447
125,4.063,44.355,6.438,58.91,7.115,70.177,30.783,6.168,5.565,13.931,6.514,140.578,145.314,4.457,26.48,5.888,38.917,4.426
126,4.075,37.119,19.492,64.813,20.135,89.069,6.084,5.46,4.694,5.886,5.658,133.745,138.57,20.057,5.464,15.479,20.13,4.55
127,4.108,19.846,24.39,59.685,5.704,69.512,17.906,6.273,4.78,5.865,5.616,125.117,137.116,5.158,26.188,4.667,21.807,4.459
128,4.144,39.309,11.48,59.128,4.916,87.105,6.512,6.165,5.295,6.276,5.901,134.479,139.497,20.463,5.437,5.673,24.112,4.49
129,4.676,23.346,21.059,53.804,14.224,71.617,20.944,5.513,5.814,5.456,5.116,130.384,136.442,13.36,23.973,5.032,17.132,3.974
130,3.893,19.577,33.261,60.512,5.031,69.557,32.026,5.867,13.993,6.236,5.942,140.856,147.085,4.019,26.035,6.052,16.174,4.231
131,4.076,39.129,11.549,58.967,21.195,84.509,14.043,6.538,5.697,5.366,5.017,139.461,144.314,20.133,8.162,4.764,15.871,4.773
132,3.666,23.586,20.533,51.573,11.467,66.918,18.241,5.637,4.497,4.026,4.983,127.567,132.95,12.094,10.354,11.411,5.264,4.384
133,3.806,17.611,31.449,56.598,6.036,66.528,23.445,6.931,5.603,5.233,4.954,128.062,132.681,13.066,24.988,5.047,7.33,4.356
134,4.57,41.451,5.085,55.741,6.015,66.482,28.465,6.224,5.325,6.171,5.794,136.133,142.256,20.292,4.425,14.34,8.393,3.876
135,4.847,23.684,21.191,53.356,12.12,69.274,18.312,4.449,4.81,4.483,4.272,121.561,127.123,9.604,20.746,4.015,6.823,4.115
136,4.096,44.237,6.345,58.782,6.659,69.671,28.527,5.064,5.78,5.421,5.066,136.111,141.206,19.431,8.953,6.206,6.675,4.676
137,4.047,37.045,16.702,61.851,20.672,86.732,6.424,6.555,5.62,5.266,4.947,134.038,140.159,19.937,8.589,16.32,6.257,4.592
